ROI,X,Y,Z,Network,Color,NetworkName,,,,,,,,,,
107,-7,51,-1,5,Red,Default mode,,,,,,,,,,
108,9,54,3,5,Red,Default mode,,,,,,,,,,
109,-3,44,-9,5,Red,Default mode,,,,,,,,,,
110,8,42,-5,5,Red,Default mode,,,,,,,,,,
111,-11,45,8,5,Red,Default mode,,,,,,,,,,
112,-2,38,36,5,Red,Default mode,,,,,,,,,,
113,-3,42,16,5,Red,Default mode,,,,,,,,,,
114,-20,64,19,5,Red,Default mode,,,,,,,,,,
115,-8,48,23,5,Red,Default mode,,,,,,,,,,
116,65,-12,-19,5,Red,Default mode,,,,,,-1,,255,255,255
117,-56,-13,-10,5,Red,Default mode,,,,,,1,,0,255,255
118,-58,-30,-4,5,Red,Default mode,,,,,,2,,255,128,0
119,65,-31,-9,5,Red,Default mode,,,,,,3,,128,0,128
120,-68,-41,-5,5,Red,Default mode,,,,,,4,,255,0,255
121,13,30,59,5,Red,Default mode,,,,,,5,,255,0,0
122,12,36,20,5,Red,Default mode,,,,,,6,,128,128,128
123,52,-2,-16,5,Red,Default mode,,,,,,7,,0,0,255
124,-26,-40,-8,5,Red,Default mode,,,,,,8,,255,255,0
125,27,-37,-13,5,Red,Default mode,,,,,,9,,0,0,0
126,-34,-38,-16,5,Red,Default mode,,,,,,10,,180,60,0
127,28,-77,-32,5,Red,Default mode,,,,,,11,,0,128,128
128,52,7,-30,5,Red,Default mode,,,,,,12,,0,255,0
129,-53,3,-27,5,Red,Default mode,,,,,,13,,,,
130,47,-50,29,5,Red,Default mode,,,,,,,,,,
131,-49,-42,1,5,Red,Default mode,,,,,,,,,,
132,-31,19,-19,-1,White,Uncertain,,,,,,,,,,
133,-2,-35,31,6,Gray,Memory retrieval?,,,,,,,,,,
134,-7,-71,42,6,Gray,Memory retrieval?,,,,,,,,,,
135,11,-66,42,6,Gray,Memory retrieval?,,,,,,,,,,
136,4,-48,51,6,Gray,Memory retrieval?,,,,,,,,,,
137,-46,31,-13,5,Red,Default mode,,,,,,,,,,
138,-10,11,67,11,Teal,Ventral attention,,,,,,,,,,
139,49,35,-12,5,Red,Default mode,,,,,,,,,,
140,8,-91,-7,-1,White,Uncertain,,,,,,,,,,
141,17,-91,-14,-1,White,Uncertain,,,,,,,,,,
142,-12,-95,-13,-1,White,Uncertain,,,,,,,,,,
143,18,-47,-10,7,Blue,Visual,,,,,,,,,,
144,40,-72,14,7,Blue,Visual,,,,,,,,,,
145,8,-72,11,7,Blue,Visual,,,,,,,,,,
146,-8,-81,7,7,Blue,Visual,,,,,,,,,,
147,-28,-79,19,7,Blue,Visual,,,,,,,,,,
148,20,-66,2,7,Blue,Visual,,,,,,,,,,
149,-24,-91,19,7,Blue,Visual,,,,,,,,,,
150,27,-59,-9,7,Blue,Visual,,,,,,,,,,
151,-15,-72,-8,7,Blue,Visual,,,,,,,,,,
152,-18,-68,5,7,Blue,Visual,,,,,,,,,,
153,43,-78,-12,7,Blue,Visual,,,,,,,,,,
154,-47,-76,-10,7,Blue,Visual,,,,,,,,,,
155,-14,-91,31,7,Blue,Visual,,,,,,,,,,
156,15,-87,37,7,Blue,Visual,,,,,,,,,,
157,29,-77,25,7,Blue,Visual,,,,,,,,,,
158,20,-86,-2,7,Blue,Visual,,,,,,,,,,
159,15,-77,31,7,Blue,Visual,,,,,,,,,,
160,-16,-52,-1,7,Blue,Visual,,,,,,,,,,
161,42,-66,-8,7,Blue,Visual,,,,,,,,,,
162,24,-87,24,7,Blue,Visual,,,,,,,,,,
163,6,-72,24,7,Blue,Visual,,,,,,,,,,
164,-42,-74,0,7,Blue,Visual,,,,,,,,,,
165,26,-79,-16,7,Blue,Visual,,,,,,,,,,
166,-16,-77,34,7,Blue,Visual,,,,,,,,,,
167,-3,-81,21,7,Blue,Visual,,,,,,,,,,
168,-40,-88,-6,7,Blue,Visual,,,,,,,,,,
169,37,-84,13,7,Blue,Visual,,,,,,,,,,
170,6,-81,6,7,Blue,Visual,,,,,,,,,,
171,-26,-90,3,7,Blue,Visual,,,,,,,,,,
172,-33,-79,-13,7,Blue,Visual,,,,,,,,,,
173,37,-81,1,7,Blue,Visual,,,,,,,,,,
174,-44,2,46,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
175,48,25,27,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
176,-47,11,23,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
177,-53,-49,43,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
178,-23,11,64,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
179,58,-53,-14,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
180,24,45,-15,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
181,34,54,-13,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
182,-21,41,-20,-1,White,Uncertain,,,,,,,,,,
183,-18,-76,-24,-1,White,Uncertain,,,,,,,,,,
184,17,-80,-34,-1,White,Uncertain,,,,,,,,,,
185,35,-67,-34,-1,White,Uncertain,,,,,,,,,,
186,47,10,33,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
187,-41,6,33,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
188,-42,38,21,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
189,38,43,15,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
190,49,-42,45,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
191,-28,-58,48,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
192,44,-53,47,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
193,32,14,56,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
194,37,-65,40,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
195,-42,-55,45,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
196,40,18,40,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
197,-34,55,4,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
198,-42,45,-2,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
199,33,-53,44,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
200,43,49,-2,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
201,-42,25,30,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
202,-3,26,44,8,Yellow,Fronto-parietal Task Control,,,,,,,,,,
203,11,-39,50,9,Black,Salience,,,,,,,,,,
204,55,-45,37,9,Black,Salience,,,,,,,,,,
205,42,0,47,9,Black,Salience,,,,,,,,,,
206,31,33,26,9,Black,Salience,,,,,,,,,,
207,48,22,10,9,Black,Salience,,,,,,,,,,
208,-35,20,0,9,Black,Salience,,,,,,,,,,
209,36,22,3,9,Black,Salience,,,,,,,,,,
210,37,32,-2,9,Black,Salience,,,,,,,,,,
211,34,16,-8,9,Black,Salience,,,,,,,,,,
212,-11,26,25,9,Black,Salience,,,,,,,,,,
213,-1,15,44,9,Black,Salience,,,,,,,,,,
214,-28,52,21,9,Black,Salience,,,,,,,,,,
215,0,30,27,9,Black,Salience,,,,,,,,,,
216,5,23,37,9,Black,Salience,,,,,,,,,,
217,10,22,27,9,Black,Salience,,,,,,,,,,
218,31,56,14,9,Black,Salience,,,,,,,,,,
219,26,50,27,9,Black,Salience,,,,,,,,,,
220,-39,51,17,9,Black,Salience,,,,,,,,,,
221,2,-24,30,6,Gray,Memory retrieval?,,,,,,,,,,
222,6,-24,0,10,Brown,Subcortical,,,,,,,,,,
223,-2,-13,12,10,Brown,Subcortical,,,,,,,,,,
224,-10,-18,7,10,Brown,Subcortical,,,,,,,,,,
225,12,-17,8,10,Brown,Subcortical,,,,,,,,,,
226,-5,-28,-4,10,Brown,Subcortical,,,,,,,,,,
227,-22,7,-5,10,Brown,Subcortical,,,,,,,,,,
228,-15,4,8,10,Brown,Subcortical,,,,,,,,,,
229,31,-14,2,10,Brown,Subcortical,,,,,,,,,,
230,23,10,1,10,Brown,Subcortical,,,,,,,,,,
231,29,1,4,10,Brown,Subcortical,,,,,,,,,,
232,-31,-11,0,10,Brown,Subcortical,,,,,,,,,,
233,15,5,7,10,Brown,Subcortical,,,,,,,,,,
234,9,-4,6,10,Brown,Subcortical,,,,,,,,,,
235,54,-43,22,11,Teal,Ventral attention,,,,,,,,,,
236,-56,-50,10,11,Teal,Ventral attention,,,,,,,,,,
237,-55,-40,14,11,Teal,Ventral attention,,,,,,,,,,
238,52,-33,8,11,Teal,Ventral attention,,,,,,,,,,
239,51,-29,-4,11,Teal,Ventral attention,,,,,,,,,,
240,56,-46,11,11,Teal,Ventral attention,,,,,,,,,,
241,53,33,1,11,Teal,Ventral attention,,,,,,,,,,
242,-49,25,-1,11,Teal,Ventral attention,,,,,,,,,,
243,-16,-65,-20,13,Pale blue,Cerebellar,,,,,,,,,,
244,-32,-55,-25,13,Pale blue,Cerebellar,,,,,,,,,,
245,22,-58,-23,13,Pale blue,Cerebellar,,,,,,,,,,
246,1,-62,-18,13,Pale blue,Cerebellar,,,,,,,,,,
247,33,-12,-34,-1,White,Uncertain,,,,,,,,,,
248,-31,-10,-36,-1,White,Uncertain,,,,,,,,,,
249,49,-3,-38,-1,White,Uncertain,,,,,,,,,,
250,-50,-7,-39,-1,White,Uncertain,,,,,,,,,,
251,10,-62,61,12,Green,Dorsal attention,,,,,,,,,,
252,-52,-63,5,12,Green,Dorsal attention,,,,,,,,,,
253,-47,-51,-21,-1,White,Uncertain,,,,,,,,,,
254,46,-47,-17,-1,White,Uncertain,,,,,,,,,,
255,47,-30,49,1,Cyan,Sensory/somatomotor Hand,,,,,,,,,,
256,22,-65,48,12,Green,Dorsal attention,,,,,,,,,,
257,46,-59,4,12,Green,Dorsal attention,,,,,,,,,,
258,25,-58,60,12,Green,Dorsal attention,,,,,,,,,,
259,-33,-46,47,12,Green,Dorsal attention,,,,,,,,,,
260,-27,-71,37,12,Green,Dorsal attention,,,,,,,,,,
261,-32,-1,54,12,Green,Dorsal attention,,,,,,,,,,
262,-42,-60,-9,12,Green,Dorsal attention,,,,,,,,,,
263,-17,-59,64,12,Green,Dorsal attention,,,,,,,,,,
264,29,-5,54,12,Green,Dorsal attention,,,,,,,,,,
